Summary
-------

Measuring unpaused time only

elapsed  2532363 ms (42m 12s)
 dfhack   120705 ms (  4.77% of elapsed)


DFHack details
--------------

                                 dig.warmdamp     2389 ms (  2.57% of overlay,   0.09% of elapsed)
                              notes.map_notes     2013 ms (  2.16% of overlay,   0.08% of elapsed)
                       sort.location_selector     1584 ms (  1.70% of overlay,   0.06% of elapsed)
                       suspendmanager.overlay     1406 ms (  1.51% of overlay,   0.06% of elapsed)
                              confirm.overlay     1216 ms (  1.31% of overlay,   0.05% of elapsed)
                        gui/design.dimensions      756 ms (  0.81% of overlay,   0.03% of elapsed)
                          dig.asciidesignated      483 ms (  0.52% of overlay,   0.02% of elapsed)
                                    sort.info      458 ms (  0.49% of overlay,   0.02% of elapsed)
                         buildingplan.planner      394 ms (  0.42% of overlay,   0.02% of elapsed)
                                    sort.slab      373 ms (  0.40% of overlay,   0.01% of elapsed)
                              sort.candidates      359 ms (  0.39% of overlay,   0.01% of elapsed)
                          zone.animal_actions      319 ms (  0.34% of overlay,   0.01% of elapsed)
                          sort.elevate_barony      300 ms (  0.32% of overlay,   0.01% of elapsed)
                  buildingplan.mechanism_free      274 ms (  0.29% of overlay,   0.01% of elapsed)
                                  sort.places      267 ms (  0.29% of overlay,   0.01% of elapsed)
                           stockpiles.overlay      243 ms (  0.26% of overlay,   0.01% of elapsed)
                                   sort.world      241 ms (  0.26% of overlay,   0.01% of elapsed)
                         spectate.followpanel      238 ms (  0.26% of overlay,   0.01% of elapsed)
                        gui/design.rightclick      196 ms (  0.21% of overlay,   0.01% of elapsed)
                        suspendmanager.status      140 ms (  0.15% of overlay,   0.01% of elapsed)
                     orders.skillrestrictions      116 ms (  0.12% of overlay,   0.00% of elapsed)
                       buildingplan.inspector      107 ms (  0.12% of overlay,   0.00% of elapsed)
                        suspendmanager.toggle       95 ms (  0.10% of overlay,   0.00% of elapsed)
                          dig.warmdamptoolbar       87 ms (  0.09% of overlay,   0.00% of elapsed)
                      preserve-rooms.reserved       80 ms (  0.09% of overlay,   0.00% of elapsed)
                           prioritize.enroute       57 ms (  0.06% of overlay,   0.00% of elapsed)
                      gui/mass-remove.toolbar       55 ms (  0.06% of overlay,   0.00% of elapsed)
                          zone.retirelocation       55 ms (  0.06% of overlay,   0.00% of elapsed)
                             zone.pasturepond       45 ms (  0.05% of overlay,   0.00% of elapsed)
                  caravan.displayitemselector        4 ms (  0.00% of overlay,   0.00% of elapsed)

                                    framework    38876 ms ( 41.78% of overlay,   1.54% of elapsed)
                                all subtimers    54167 ms ( 58.22% of overlay,   2.14% of elapsed)


ZScreen details
---------------

                      WarmDampDigConfigScreen        4 ms (100.00% of zscreen,   0.00% of elapsed)

                                    framework        0 ms (  0.00% of zscreen,   0.00% of elapsed)
                                all subtimers        4 ms (100.00% of zscreen,   0.00% of elapsed)
