Summary
-------

Measuring unpaused time only

elapsed  1319217 ms (21m 59s)
 dfhack    78222 ms (  5.93% of elapsed)


DFHack details
--------------

                        gui/design.dimensions      271 ms (  0.42% of overlay,   0.02% of elapsed)
                                    sort.slab      241 ms (  0.37% of overlay,   0.02% of elapsed)
                          dig.warmdamptoolbar      214 ms (  0.33% of overlay,   0.02% of elapsed)
                         buildingplan.planner      170 ms (  0.26% of overlay,   0.01% of elapsed)
                          sort.elevate_barony      165 ms (  0.26% of overlay,   0.01% of elapsed)
                       sort.location_selector      165 ms (  0.26% of overlay,   0.01% of elapsed)
                                   sort.world      153 ms (  0.24% of overlay,   0.01% of elapsed)
                                  sort.places      147 ms (  0.23% of overlay,   0.01% of elapsed)
                              sort.candidates      124 ms (  0.19% of overlay,   0.01% of elapsed)
                            caravan.movegoods       70 ms (  0.11% of overlay,   0.01% of elapsed)
                        gui/design.rightclick       68 ms (  0.11% of overlay,   0.01% of elapsed)
                  buildingplan.mechanism_free       64 ms (  0.10% of overlay,   0.00% of elapsed)
                        suspendmanager.status       38 ms (  0.06% of overlay,   0.00% of elapsed)
                          zone.animal_actions       37 ms (  0.06% of overlay,   0.00% of elapsed)
                       buildingplan.inspector       27 ms (  0.04% of overlay,   0.00% of elapsed)
                           prioritize.enroute       26 ms (  0.04% of overlay,   0.00% of elapsed)
                        suspendmanager.toggle       23 ms (  0.04% of overlay,   0.00% of elapsed)
                      gui/mass-remove.toolbar       14 ms (  0.02% of overlay,   0.00% of elapsed)
                         spectate.followpanel        8 ms (  0.01% of overlay,   0.00% of elapsed)
                           stockpiles.overlay        2 ms (  0.00% of overlay,   0.00% of elapsed)

                                    framework    23058 ms ( 35.70% of overlay,   1.75% of elapsed)
                                all subtimers    41522 ms ( 64.30% of overlay,   3.15% of elapsed)
